name,label,storage,H,density,r2,r2_min,r2_max,energy_nJ,energy_kind,note
bmi_snn_g128,"128, 100 %",constants,128,1.0,0.586,0.582,0.59,18.7,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_g128p25,"128, 25 %",constants,128,0.25,0.572,0.566,0.579,7.0,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_g128p125,"128, 12.5 %",constants,128,0.125,0.546,0.542,0.551,4.36,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_m12,"64, 100 %",constants,64,1.0,0.581,0.578,0.585,6.9,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_g64p50,"64, 50 %",constants,64,0.5,0.578,0.577,0.581,4.81,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_sp,"64, 25 %",constants,64,0.25,0.573,0.57,0.574,3.15,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_g64p125,"64, 12.5 %",constants,64,0.125,0.528,0.517,0.533,2.02,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_min32,"32, 100 %",constants,32,1.0,0.574,0.571,0.58,4.18,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_g32p50,"32, 50 %",constants,32,0.5,0.573,0.569,0.578,2.21,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_g32p25,"32, 25 %",constants,32,0.25,0.556,0.55,0.561,1.58,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_min16,"16, 100 %",constants,16,1.0,0.552,0.546,0.556,2.06,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_g16p50,"16, 50 %",constants,16,0.5,0.544,0.539,0.549,1.1,annotated,"5 seeds x 3 sessions, 12-bit gated hardwired core"
bmi_snn_min,"64, 100 %, 16-bit",constants,64,1.0,0.582539062849574,0.582539062849574,0.582539062849574,9.468201600000002,annotated,"16-bit state, no gating"
bmi_snn_ming,"64, 100 %, 16-bit gated",constants,64,1.0,0.582539062849574,0.582539062849574,0.582539062849574,6.70654647,annotated,"16-bit state, gated datapath"
bmi_snn_top,"SRAM, event mode",SRAM block,64,1.0,0.582539062849574,0.582539062849574,0.582539062849574,43.394533544999994,annotated,"released seed-0 models, bit-exact"
bmi_snn_top_dense,"SRAM, dense mode",SRAM block,64,1.0,0.582539062849574,0.582539062849574,0.582539062849574,367.14502293000004,annotated,all synapses visited every bin
bmi_snn_topg,"SRAM, gated groups",SRAM block,64,1.0,0.582539062849574,0.582539062849574,0.582539062849574,32.919712440000005,annotated,"released seed-0 models, bit-exact"
bmi_snn_lmin2,latch memory,latches,64,1.0,0.5823437288351232,0.5823437288351232,0.5823437288351232,6.71817296934886,zero-delay x glitch factor of the w50 annotated window,"released seed-0 models, bit-exact"
soc_tuned_5MHz,"software, hand-tuned",software,64,1.0,0.582539062849574,0.582539062849574,0.582539062849574,2003.0,annotated,"RISC-V SoC, decoding window, cell delays annotated"
