core,kit,flavour,voltage_V,temperature_C,energy_per_bin_nJ,energy_kind,leakage_uW,p_avg_250Hz_uW,linestyle
sp,sky130,nominal,1.8,25.0,2.8020202843199997,"annotated, 5,000 bins",0.24322280000000002,0.9437278710799999,-
sp,sky130,"nominal, 37 C leakage",1.8,37,2.8020202843199997,"annotated, 5,000 bins",0.507750223288771,1.208255294368771,:
sp,sky130,ss_n40C_1v28 netlist,1.28,-40.0,1.4314701546000002,"annotated (1.28 V netlist, E14)",0.07316125,0.43102878865000005,--
sp,gf180,nominal,5.0,25.0,46.33330196,"annotated, 5,000 bins",4.124763000000001,15.708088490000002,-
sp,gf180,tt_025C_1v80,1.8,25.0,5.754446971858444,zero-delay x glitch 1.22,0.5320567,1.970668442964611,--
sp,ihp,nominal,1.2,25.0,2.5026525773599997,"annotated, 5,000 bins",59.53489,60.16055314434,-
sp,ihp,"nominal, logic leakage only",1.2,25.0,2.5026525773599997,"annotated, 5,000 bins",3.6583141009997906,4.28397724533979,:
sp,ihp,"nominal, decap-free fill",1.2,25.0,2.5026525773599997,"annotated, 5,000 bins",3.671457,4.29712014434,-.
sp,nangate45,nominal,1.1,25.0,3.4068094770400004,"zero-delay, 5,000 bins",764.2373,765.08900236926,-
sp,asap7sram,nominal,0.7,25.0,0.082515498816,"annotated, 5,000 bins",0.7187502,0.739379074704,-
sp,asap7,nominal,0.7,25.0,0.095180483184,"annotated, 5,000 bins",3.301377,3.325172120796,-
min32,sky130,nominal,1.8,25.0,3.7089405237,"annotated, 5,000 bins",0.1442077,1.0714428309250001,-
min32,sky130,"nominal, 37 C leakage",1.8,37,3.7089405237,"annotated, 5,000 bins",0.30685988622262494,1.234095017147625,:
min32,sky130,ss_n40C_1v28 netlist,1.28,-40.0,2.3686034457000007,"annotated (1.28 V netlist, E14)",0.1219879,0.7141387614250002,--
min32,gf180,nominal,5.0,25.0,62.443006789600005,"annotated, 5,000 bins",3.5707329999999997,19.181484697400002,-
min32,gf180,tt_025C_1v80,1.8,25.0,7.751936575947036,zero-delay x glitch 1.24,0.45837520000000004,2.396359343986759,--
min32,ihp,nominal,1.2,25.0,3.120710279244,"annotated, 5,000 bins",49.40396,50.184137569811,-
min32,ihp,"nominal, logic leakage only",1.2,25.0,3.120710279244,"annotated, 5,000 bins",2.9826678079999667,3.7628453778109665,:
min32,nangate45,nominal,1.1,25.0,3.1556738579,"zero-delay, 5,000 bins",665.3713,666.1602184644751,-
min32,asap7sram,nominal,0.7,25.0,0.10524220962800002,"annotated, 5,000 bins",0.6249760999999999,0.6512866524069999,-
min32,asap7,nominal,0.7,25.0,0.1205481610112,"annotated, 5,000 bins",2.80872,2.8388570402528,-
