design,energy_per_bin_nJ,annotated,clock_share,sequential_share,combinational_share,macro_share,leakage_25C_uW,leakage_100C_uW,leakage_37C_uW,p_avg_250Hz_uW
bmi_snn_top,40.0802331092,True,0.2942079302260651,0.2879204761503792,0.3728532238979273,0.04502144538053474,2.437428,16.069580000000002,3.2959713853936936,12.457486277300001
bmi_snn_top_dense,367.14502293000004,True,0.2943419843964599,0.28811398295372775,0.3517496681893532,0.06579510181745173,2.437428,16.069580000000002,3.2959713853936936,94.2236837325
bmi_snn_topg,30.17429487196,True,0.19660840304715613,0.17009767724447353,0.5739206430808057,0.0593747721643221,2.583978,20.37966,3.5957882700559085,10.127551717990002
bmi_snn_lmin2,6.182313723044278,True,0.29796768026841786,0.1482515158747639,0.55378640612781,0.0,4.381624,,,5.92720243076107
bmi_snn_hw,9.01919890904,True,0.2338469387312049,0.20456305115212775,0.5615944388723172,0.0,0.41737749999999996,,,2.6721772272599997
bmi_snn_min,8.33340910008,True,0.2297648384673178,0.19358569684447782,0.576653362133734,0.0,0.34508940000000005,,,2.42844167502
bmi_snn_ming,5.85777542952,True,0.1432799339717391,0.13928369943882607,0.7174374935778236,0.0,0.47077589999999997,,,1.93521975738
bmi_snn_m12,6.0353887164,True,0.1280525007132199,0.10651422543673852,0.7654359786117747,0.0,0.361818,,,1.8706651791
bmi_snn_sp,2.8020202843199997,True,0.2527618992188442,0.22264160094675475,0.5245955297988008,0.0,0.24322280000000002,24.19863,0.507750223288771,0.9437278710799999
bmi_snn_min32,3.7089405237,True,0.24541289305419,0.22817777065158545,0.5264094405460628,0.0,0.1442077,16.16912,0.30685988622262494,1.0714428309250001
bmi_snn_min16,1.832965554672,True,0.23914673111754403,0.25416030911198345,0.5066892261331382,0.0,0.06407752,9.027917,0.14142519717217455,0.522318908668
