kit,core,cls,n_cells,leak_uW
sky130,top,decap,14579,0.047236
sky130,top,fill,11931,0.0
sky130,top,tap,2706,0.0
sky130,top,diode,56,0.0
sky130,top,endcap,0,0.0
sky130,top,logic,10718,2.390196
sky130,topg,decap,56089,0.181728
sky130,topg,fill,18055,0.0
sky130,topg,tap,5884,0.0
sky130,topg,diode,56,0.0
sky130,topg,endcap,0,0.0
sky130,topg,logic,14975,2.402243
sky130,scmem,decap,1183383,3.834161
sky130,scmem,fill,134950,0.0
sky130,scmem,tap,104895,0.0
sky130,scmem,diode,56,0.0
sky130,scmem,endcap,0,0.0
sky130,scmem,logic,196307,1.071903
sky130,lmem2,decap,654936,2.121993
sky130,lmem2,fill,91153,0.0
sky130,lmem2,tap,63244,0.0
sky130,lmem2,diode,56,0.0
sky130,lmem2,endcap,0,0.0
sky130,lmem2,logic,145389,0.853122
sky130,lmin2,decap,1105606,3.582163
sky130,lmin2,fill,114741,0.0
sky130,lmin2,tap,87936,0.0
sky130,lmin2,diode,55,0.0
sky130,lmin2,endcap,0,0.0
sky130,lmin2,logic,139136,0.846472
sky130,hw,decap,91236,0.295605
sky130,hw,fill,14379,0.0
sky130,hw,tap,9269,0.0
sky130,hw,diode,13,0.0
sky130,hw,endcap,0,0.0
sky130,hw,logic,31280,0.12178
sky130,min,decap,73916,0.239488
sky130,min,fill,12145,0.0
sky130,min,tap,7780,0.0
sky130,min,diode,12,0.0
sky130,min,endcap,0,0.0
sky130,min,logic,26527,0.105611
sky130,ming,decap,112185,0.363479
sky130,ming,fill,14874,0.0
sky130,ming,tap,9856,0.0
sky130,ming,diode,12,0.0
sky130,ming,endcap,0,0.0
sky130,ming,logic,26007,0.107294
sky130,m12,decap,79912,0.258915
sky130,m12,fill,11834,0.0
sky130,m12,tap,8033,0.0
sky130,m12,diode,12,0.0
sky130,m12,endcap,0,0.0
sky130,m12,logic,24558,0.102896
sky130,sp,decap,50180,0.162583
sky130,sp,fill,10082,0.0
sky130,sp,tap,5381,0.0
sky130,sp,diode,12,0.0
sky130,sp,endcap,0,0.0
sky130,sp,logic,19153,0.080636
sky130,min32,decap,28070,0.090947
sky130,min32,fill,5419,0.0
sky130,min32,tap,3330,0.0
sky130,min32,diode,12,0.0
sky130,min32,endcap,0,0.0
sky130,min32,logic,13402,0.053262
sky130,min16,decap,10506,0.034039
sky130,min16,fill,2844,0.0
sky130,min16,tap,1550,0.0
sky130,min16,diode,12,0.0
sky130,min16,endcap,0,0.0
sky130,min16,logic,7588,0.030038
sky130,g128,decap,263577,0.853989
sky130,g128,fill,30521,0.0
sky130,g128,tap,22932,0.0
sky130,g128,diode,12,0.0
sky130,g128,endcap,0,0.0
sky130,g128,logic,55791,0.235797
sky130,g128p25,decap,156494,0.507041
sky130,g128p25,fill,21638,0.0
sky130,g128p25,tap,13908,0.0
sky130,g128p25,diode,12,0.0
sky130,g128p25,endcap,0,0.0
sky130,g128p25,logic,37193,0.160779
sky130,g128p125,decap,55048,0.178356
sky130,g128p125,fill,14569,0.0
sky130,g128p125,tap,7504,0.0
sky130,g128p125,diode,12,0.0
sky130,g128p125,endcap,0,0.0
sky130,g128p125,logic,32804,0.135823
sky130,g64p50,decap,88103,0.285454
sky130,g64p50,fill,12324,0.0
sky130,g64p50,tap,7866,0.0
sky130,g64p50,diode,12,0.0
sky130,g64p50,endcap,0,0.0
sky130,g64p50,logic,21189,0.090434
sky130,g64p125,decap,28867,0.093529
sky130,g64p125,fill,6919,0.0
sky130,g64p125,tap,3705,0.0
sky130,g64p125,diode,12,0.0
sky130,g64p125,endcap,0,0.0
sky130,g64p125,logic,16197,0.065132
sky130,g32p50,decap,19126,0.061968
sky130,g32p50,fill,3983,0.0
sky130,g32p50,tap,2528,0.0
sky130,g32p50,diode,12,0.0
