kit,core,voltage_V,rate_bins_per_s,energy_dyn_per_bin_nJ,leakage_total_uW,leakage_logic_uW,p_avg_uW,p_avg_logic_leak_uW,energy_window
SkyWater sky130,sp,1.8,1,2.8011,0.24322,0.080636,0.24602,0.083437,sdf_w5000
SkyWater sky130,sp,1.8,2,2.8011,0.24322,0.080636,0.24882,0.086238,sdf_w5000
SkyWater sky130,sp,1.8,5,2.8011,0.24322,0.080636,0.25723,0.094641,sdf_w5000
SkyWater sky130,sp,1.8,10,2.8011,0.24322,0.080636,0.27123,0.10865,sdf_w5000
SkyWater sky130,sp,1.8,20,2.8011,0.24322,0.080636,0.29924,0.13666,sdf_w5000
SkyWater sky130,sp,1.8,50,2.8011,0.24322,0.080636,0.38328,0.22069,sdf_w5000
SkyWater sky130,sp,1.8,100,2.8011,0.24322,0.080636,0.52333,0.36074,sdf_w5000
SkyWater sky130,sp,1.8,250,2.8011,0.24322,0.080636,0.94349,0.7809,sdf_w5000
SkyWater sky130,sp,1.8,500,2.8011,0.24322,0.080636,1.6438,1.4812,sdf_w5000
SkyWater sky130,sp,1.8,1000,2.8011,0.24322,0.080636,3.0443,2.8817,sdf_w5000
SkyWater sky130,m12,1.8,1,6.034,0.36182,0.1029,0.36785,0.10893,sdf_w5000
SkyWater sky130,m12,1.8,2,6.034,0.36182,0.1029,0.37389,0.11496,sdf_w5000
SkyWater sky130,m12,1.8,5,6.034,0.36182,0.1029,0.39199,0.13307,sdf_w5000
SkyWater sky130,m12,1.8,10,6.034,0.36182,0.1029,0.42216,0.16324,sdf_w5000
SkyWater sky130,m12,1.8,20,6.034,0.36182,0.1029,0.4825,0.22358,sdf_w5000
SkyWater sky130,m12,1.8,50,6.034,0.36182,0.1029,0.66352,0.40459,sdf_w5000
SkyWater sky130,m12,1.8,100,6.034,0.36182,0.1029,0.96521,0.70629,sdf_w5000
SkyWater sky130,m12,1.8,250,6.034,0.36182,0.1029,1.8703,1.6114,sdf_w5000
SkyWater sky130,m12,1.8,500,6.034,0.36182,0.1029,3.3788,3.1199,sdf_w5000
SkyWater sky130,m12,1.8,1000,6.034,0.36182,0.1029,6.3958,6.1369,sdf_w5000
SkyWater sky130,min32,1.8,1,3.7084,0.14421,0.053262,0.14792,0.05697,sdf_w5000
SkyWater sky130,min32,1.8,2,3.7084,0.14421,0.053262,0.15162,0.060678,sdf_w5000
SkyWater sky130,min32,1.8,5,3.7084,0.14421,0.053262,0.16275,0.071803,sdf_w5000
SkyWater sky130,min32,1.8,10,3.7084,0.14421,0.053262,0.18129,0.090345,sdf_w5000
SkyWater sky130,min32,1.8,20,3.7084,0.14421,0.053262,0.21838,0.12743,sdf_w5000
SkyWater sky130,min32,1.8,50,3.7084,0.14421,0.053262,0.32963,0.23868,sdf_w5000
SkyWater sky130,min32,1.8,100,3.7084,0.14421,0.053262,0.51505,0.4241,sdf_w5000
SkyWater sky130,min32,1.8,250,3.7084,0.14421,0.053262,1.0713,0.98036,sdf_w5000
SkyWater sky130,min32,1.8,500,3.7084,0.14421,0.053262,1.9984,1.9074,sdf_w5000
SkyWater sky130,min32,1.8,1000,3.7084,0.14421,0.053262,3.8526,3.7616,sdf_w5000
SkyWater sky130,min16,1.8,1,1.8327,0.064078,0.030038,0.06591,0.031871,sdf_w5000
SkyWater sky130,min16,1.8,2,1.8327,0.064078,0.030038,0.067743,0.033704,sdf_w5000
SkyWater sky130,min16,1.8,5,1.8327,0.064078,0.030038,0.073241,0.039202,sdf_w5000
SkyWater sky130,min16,1.8,10,1.8327,0.064078,0.030038,0.082405,0.048365,sdf_w5000
SkyWater sky130,min16,1.8,20,1.8327,0.064078,0.030038,0.10073,0.066692,sdf_w5000
SkyWater sky130,min16,1.8,50,1.8327,0.064078,0.030038,0.15571,0.12167,sdf_w5000
SkyWater sky130,min16,1.8,100,1.8327,0.064078,0.030038,0.24735,0.21331,sdf_w5000
SkyWater sky130,min16,1.8,250,1.8327,0.064078,0.030038,0.52226,0.48822,sdf_w5000
SkyWater sky130,min16,1.8,500,1.8327,0.064078,0.030038,0.98044,0.9464,sdf_w5000
SkyWater sky130,min16,1.8,1000,1.8327,0.064078,0.030038,1.8968,1.8628,sdf_w5000
SkyWater sky130,lmin2,1.8,1,4.2608,4.3816,0.84647,4.3859,0.85073,sdf_w5000
SkyWater sky130,lmin2,1.8,2,4.2608,4.3816,0.84647,4.3901,0.85499,sdf_w5000
SkyWater sky130,lmin2,1.8,5,4.2608,4.3816,0.84647,4.4029,0.86778,sdf_w5000
SkyWater sky130,lmin2,1.8,10,4.2608,4.3816,0.84647,4.4242,0.88908,sdf_w5000
SkyWater sky130,lmin2,1.8,20,4.2608,4.3816,0.84647,4.4668,0.93169,sdf_w5000
SkyWater sky130,lmin2,1.8,50,4.2608,4.3816,0.84647,4.5947,1.0595,sdf_w5000
SkyWater sky130,lmin2,1.8,100,4.2608,4.3816,0.84647,4.8077,1.2726,sdf_w5000
SkyWater sky130,lmin2,1.8,250,4.2608,4.3816,0.84647,5.4468,1.9117,sdf_w5000
SkyWater sky130,lmin2,1.8,500,4.2608,4.3816,0.84647,6.512,2.9769,sdf_w5000
SkyWater sky130,lmin2,1.8,1000,4.2608,4.3816,0.84647,8.6424,5.1073,sdf_w5000
SkyWater sky130,g32p50,1.8,1,1.9513,0.10809,0.046128,0.11004,0.048079,sdf_w5000
SkyWater sky130,g32p50,1.8,2,1.9513,0.10809,0.046128,0.112,0.05003,sdf_w5000
SkyWater sky130,g32p50,1.8,5,1.9513,0.10809,0.046128,0.11785,0.055884,sdf_w5000
SkyWater sky130,g32p50,1.8,10,1.9513,0.10809,0.046128,0.12761,0.06564,sdf_w5000
SkyWater sky130,g32p50,1.8,20,1.9513,0.10809,0.046128,0.14712,0.085153,sdf_w5000
SkyWater sky130,g32p50,1.8,50,1.9513,0.10809,0.046128,0.20566,0.14369,sdf_w5000
SkyWater sky130,g32p50,1.8,100,1.9513,0.10809,0.046128,0.30322,0.24125,sdf_w5000
SkyWater sky130,g32p50,1.8,250,1.9513,0.10809,0.046128,0.59591,0.53394,sdf_w5000
SkyWater sky130,g32p50,1.8,500,1.9513,0.10809,0.046128,1.0837,1.0218,sdf_w5000
SkyWater sky130,g32p50,1.8,1000,1.9513,0.10809,0.046128,2.0594,1.9974,sdf_w5000
GlobalFoundries GF180MCU,sp,5.0,1,46.317,4.1248,3.1525,4.1711,3.1988,sdf_w5000
GlobalFoundries GF180MCU,sp,5.0,2,46.317,4.1248,3.1525,4.2174,3.2451,sdf_w5000
GlobalFoundries GF180MCU,sp,5.0,5,46.317,4.1248,3.1525,4.3563,3.3841,sdf_w5000
GlobalFoundries GF180MCU,sp,5.0,10,46.317,4.1248,3.1525,4.5879,3.6157,sdf_w5000
GlobalFoundries GF180MCU,sp,5.0,20,46.317,4.1248,3.1525,5.0511,4.0788,sdf_w5000
GlobalFoundries GF180MCU,sp,5.0,50,46.317,4.1248,3.1525,6.4406,5.4684,sdf_w5000
GlobalFoundries GF180MCU,sp,5.0,100,46.317,4.1248,3.1525,8.7565,7.7842,sdf_w5000
GlobalFoundries GF180MCU,sp,5.0,250,46.317,4.1248,3.1525,15.704,14.732,sdf_w5000
GlobalFoundries GF180MCU,sp,5.0,500,46.317,4.1248,3.1525,27.283,26.311,sdf_w5000
GlobalFoundries GF180MCU,sp,5.0,1000,46.317,4.1248,3.1525,50.442,49.47,sdf_w5000
GlobalFoundries GF180MCU,m12,5.0,1,81.729,6.198,4.0388,6.2797,4.1205,sdf_w5000
GlobalFoundries GF180MCU,m12,5.0,2,81.729,6.198,4.0388,6.3614,4.2023,sdf_w5000
GlobalFoundries GF180MCU,m12,5.0,5,81.729,6.198,4.0388,6.6066,4.4474,sdf_w5000
GlobalFoundries GF180MCU,m12,5.0,10,81.729,6.198,4.0388,7.0153,4.8561,sdf_w5000
GlobalFoundries GF180MCU,m12,5.0,20,81.729,6.198,4.0388,7.8325,5.6734,sdf_w5000
GlobalFoundries GF180MCU,m12,5.0,50,81.729,6.198,4.0388,10.284,8.1252,sdf_w5000
GlobalFoundries GF180MCU,m12,5.0,100,81.729,6.198,4.0388,14.371,12.212,sdf_w5000
GlobalFoundries GF180MCU,m12,5.0,250,81.729,6.198,4.0388,26.63,24.471,sdf_w5000
GlobalFoundries GF180MCU,m12,5.0,500,81.729,6.198,4.0388,47.062,44.903,sdf_w5000
GlobalFoundries GF180MCU,m12,5.0,1000,81.729,6.198,4.0388,87.927,85.767,sdf_w5000
GlobalFoundries GF180MCU,min32,5.0,1,62.429,3.5707,2.5685,3.6332,2.6309,sdf_w5000
GlobalFoundries GF180MCU,min32,5.0,2,62.429,3.5707,2.5685,3.6956,2.6934,sdf_w5000
GlobalFoundries GF180MCU,min32,5.0,5,62.429,3.5707,2.5685,3.8829,2.8807,sdf_w5000
GlobalFoundries GF180MCU,min32,5.0,10,62.429,3.5707,2.5685,4.195,3.1928,sdf_w5000
GlobalFoundries GF180MCU,min32,5.0,20,62.429,3.5707,2.5685,4.8193,3.8171,sdf_w5000
GlobalFoundries GF180MCU,min32,5.0,50,62.429,3.5707,2.5685,6.6922,5.69,sdf_w5000
GlobalFoundries GF180MCU,min32,5.0,100,62.429,3.5707,2.5685,9.8136,8.8114,sdf_w5000
GlobalFoundries GF180MCU,min32,5.0,250,62.429,3.5707,2.5685,19.178,18.176,sdf_w5000
GlobalFoundries GF180MCU,min32,5.0,500,62.429,3.5707,2.5685,34.785,33.783,sdf_w5000
