core,session,design,util_pct,area_mm2,cells,r2_int,bins_full,events_per_bin_full,energy_per_bin_full_nJ,cycles_per_bin_full,bins_sdf,energy_per_bin_sdf_nJ,energy_per_bin_500win_nJ,leakage_uW,transfer_model_nJ,bit_exact
sp,indy_20160622_01,bmi_snn_sp_s622,40,0.175,24347,0.574,132745,7.93,3.25,24.9,5000,3.86,,0.241,3.59,True
sp,indy_20160630_01,bmi_snn_sp,40,0.176,24546,0.574,107444,4.88,2.36,18.9,5000,2.80,2.67,0.243,2.76,True
sp,indy_20170131_02,bmi_snn_sp_s131,40,0.163,23089,0.574,52116,3.71,1.77,16.6,5000,2.04,,0.229,2.31,True
min32,indy_20160622_01,bmi_snn_min32_s622,50,0.121,17033,0.572,132745,7.93,4.28,24.8,5000,5.27,,0.145,,True
min32,indy_20160630_01,bmi_snn_min32,50,0.119,16744,0.572,107444,4.88,3.07,18.8,5000,3.71,3.46,0.144,,True
min32,indy_20170131_02,bmi_snn_min32_s131,50,0.120,16930,0.572,52116,3.71,2.57,16.6,5000,3.08,,0.144,,True
g32p50,indy_20160622_01,bmi_snn_g32p50_s622,40,0.103,14615,0.569,132745,7.93,2.20,24.8,5000,2.71,,0.144,,True
g32p50,indy_20160630_01,bmi_snn_g32p50,50,0.101,13775,0.569,107444,4.88,1.57,18.8,5000,1.95,1.78,0.108,,True
g32p50,indy_20170131_02,bmi_snn_g32p50_s131,40,0.102,14245,0.569,52116,3.71,1.29,16.4,5000,1.56,,0.140,,True
m12,indy_20160622_01,bmi_snn_m12_s622,30,0.237,35560,0.582,132745,7.93,6.62,25.0,5000,8.62,,0.605,,True
m12,indy_20160630_01,bmi_snn_m12,30,0.240,32603,0.582,107444,4.88,4.54,19.0,5000,6.04,5.20,0.362,,True
m12,indy_20170131_02,bmi_snn_m12_s131,30,0.240,32707,0.582,52116,3.71,3.65,17.0,5000,4.84,,0.366,,True
