kit,core,voltage_V,rate_bins_per_s,energy_dyn_per_bin_nJ,leakage_total_uW,leakage_logic_uW,p_avg_uW,p_avg_logic_leak_uW
SkyWater sky130,min16,1.8,1,1.6867,0.064078,0.030038,0.065764,0.031725
SkyWater sky130,min16,1.8,2,1.6867,0.064078,0.030038,0.067451,0.033412
SkyWater sky130,min16,1.8,5,1.6867,0.064078,0.030038,0.072511,0.038472
SkyWater sky130,min16,1.8,10,1.6867,0.064078,0.030038,0.080945,0.046905
SkyWater sky130,min16,1.8,20,1.6867,0.064078,0.030038,0.097812,0.063772
SkyWater sky130,min16,1.8,50,1.6867,0.064078,0.030038,0.14841,0.11437
SkyWater sky130,min16,1.8,100,1.6867,0.064078,0.030038,0.23275,0.19871
SkyWater sky130,min16,1.8,250,1.6867,0.064078,0.030038,0.48576,0.45172
SkyWater sky130,min16,1.8,500,1.6867,0.064078,0.030038,0.90743,0.87339
SkyWater sky130,min16,1.8,1000,1.6867,0.064078,0.030038,1.7508,1.7168
GlobalFoundries GF180MCU,sp,5.0,1,23.808,4.1248,3.1525,4.1486,3.1763
GlobalFoundries GF180MCU,sp,5.0,2,23.808,4.1248,3.1525,4.1724,3.2001
GlobalFoundries GF180MCU,sp,5.0,5,23.808,4.1248,3.1525,4.2438,3.2715
GlobalFoundries GF180MCU,sp,5.0,10,23.808,4.1248,3.1525,4.3628,3.3906
GlobalFoundries GF180MCU,sp,5.0,20,23.808,4.1248,3.1525,4.6009,3.6287
GlobalFoundries GF180MCU,sp,5.0,50,23.808,4.1248,3.1525,5.3152,4.3429
GlobalFoundries GF180MCU,sp,5.0,100,23.808,4.1248,3.1525,6.5056,5.5333
GlobalFoundries GF180MCU,sp,5.0,250,23.808,4.1248,3.1525,10.077,9.1045
GlobalFoundries GF180MCU,sp,5.0,500,23.808,4.1248,3.1525,16.029,15.056
GlobalFoundries GF180MCU,sp,5.0,1000,23.808,4.1248,3.1525,27.933,26.96
GlobalFoundries GF180MCU,min32,5.0,1,31.683,3.5707,2.5685,3.6024,2.6002
GlobalFoundries GF180MCU,min32,5.0,2,31.683,3.5707,2.5685,3.6341,2.6319
GlobalFoundries GF180MCU,min32,5.0,5,31.683,3.5707,2.5685,3.7291,2.7269
GlobalFoundries GF180MCU,min32,5.0,10,31.683,3.5707,2.5685,3.8876,2.8853
GlobalFoundries GF180MCU,min32,5.0,20,31.683,3.5707,2.5685,4.2044,3.2022
GlobalFoundries GF180MCU,min32,5.0,50,31.683,3.5707,2.5685,5.1549,4.1527
GlobalFoundries GF180MCU,min32,5.0,100,31.683,3.5707,2.5685,6.739,5.7368
GlobalFoundries GF180MCU,min32,5.0,250,31.683,3.5707,2.5685,11.491,10.489
